;;;;;;;;;;;;;;;;;x
LaunchCheatPacks_title;Launch Cheat Pack;;;;;;;;;;;;x;;;;
LaunchCheatPacks_desc;This will enable Cheat Pack;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;
DisableCheats_title;Disable Cheat Pack;;;;;;;;;;;;;;;;
DisableCheats_desc;Disable Cheat option;;;;;;;;;;;;;;;;
IncreaseLiteracy_title;Increase Literacy;;;;;;;;;;;;;;;;
IncreaseLiteracy_desc;Increase the literacy of the population by 0.1% with the cost of 30000 money;;;;;;;;;;;;;;;;
RemoveInfamy_title;Remove Infamy;;;;;;;;;;;;;;;;
RemoveInfamy_desc;Remove your infamy by 50 at cost of 0.5 prestige;;;;;;;;;;;;;;;;
GivesMoney_title;Gives Money;;;;;;;;;;;;;;;;
GivesMoney_desc;Will give you 10000 money at cost of 0.1 prestige;;;;;;;;;;;;;;;;
