;;;;x
SWN;Sweden-Norway;x;;
SWN_ADJ;Swedish-Norwegian;x;;
SWN_absolute_monarchy;Sweden-Norway;x;;
SWN_absolute_monarchy_ADJ;Swedish-Norwegian;x;;
SWN_hms_government;Sweden-Norway;x;;
SWN_hms_government_ADJ;Swedish-Norwegian;x;;
SWN_democracy;Republic of Sweden and Norway;x;;
SWN_democracy_ADJ;Swedish-Norwegian;x;;
SWN_proletarian_dictatorship;Peoples Republic of Sweden-Norway;x;;
SWN_proletarian_dictatorship_ADJ;Swedish-Norwegian;x;;
SWN_fascist_dictatorship;Greater Sweden-Norway;x;;
SWN_fascist_dictatorship_ADJ;Swedish-Norwegian;x;;
EVTOPTA79094;The war with Denmark has ended and now we are forming a union with Norway.;
form_sweden-norway_title;Form the Sweden-Norway;;;;;;;;;;;;;;;;
form_sweden-norway_desc;Time will tell us that forming the Sweden-Norway union will be very beneficial;;;;;;;;;;;;;;;;
SWN_conservative;Konservativa Partiet;Konservativa Partiet;Konservativa Partiet;;Konservativa Partiet;;;;;;;;;x;;;;
SWN_liberal;Liberala Partiet;Liberala Partiet;Liberala Partiet;;Liberala Partiet;;;;;;;;;x;;;;
SWN_socialist;Socialdemokraterna;Socialdemokraterna;Socialdemokraterna;;Socialdemokraterna;;;;;;;;;x;;;;
SWN_conservative_2;Sveriges Agrarf顤bund ;Sveriges Agrarf顤bund ;Sveriges Agrarf顤bund ;;Sveriges Agrarf顤bund ;;;;;;;;;x;;;;
SWN_conservative_3;Bondef顤bundet ;Bondef顤bundet ;Bondef顤bundet ;;Bondef顤bundet ;;;;;;;;;x;;;;
SWN_liberal_2;Nya Landtmannapartiet;Nya Landtmannapartiet;Nya Landtmannapartiet;;Nya Landtmannapartiet;;;;;;;;;x;;;;
SWN_communist;Socialdem. V鄚sterpartiet;Socialdem. V鄚sterpartiet;Socialdem. V鄚sterpartiet;;Socialdem. V鄚sterpartiet;;;;;;;;;x;;;;
SWN_liberal_3;Landtmannapartiet ;Landtmannapartiet ;Landtmannapartiet ;;Landtmannapartiet ;;;;;;;;;x;;;;
SWN_liberal_4;Gamla Landtmannapartiet;Gamla Landtmannapartiet;Gamla Landtmannapartiet;;Gamla Landtmannapartiet;;;;;;;;;x;;;;
SWN_conservative_4;Alm鄚na Valmansf顤bundet;Alm鄚na Valmansf顤bundet;Alm鄚na Valmansf顤bundet;;Alm鄚na Valmansf顤bundet;;;;;;;;;x;;;;
SWN_conservative_5;Sveriges Agrarf顤bund ;Sveriges Agrarf顤bund ;Sveriges Agrarf顤bund ;;Sveriges Agrarf顤bund ;;;;;;;;;x;;;;
SWN_liberal_5;Landtmannapartiet ;Landtmannapartiet ;Landtmannapartiet ;;Landtmannapartiet ;;;;;;;;;x;;;;
SWN_liberal_6;Liberala Samlingspartiet;Liberala Samlingspartiet;Liberala Samlingspartiet;;Liberala Samlingspartiet;;;;;;;;;x;;;;
SWN_reactionary;Nationalistpartiet;Nationalistpartiet;Nationalistpartiet;;Nationalistpartiet;;;;;;;;;x;;;;
SWN_anarcho_liberal;Anti-revoultion酺a partiet;Anti-revoultion酺a partiet;Anti-revoultion酺a partiet;;Anti-revoultion酺a partiet;;;;;;;;;x;;;;
SWN_fascist;Nationalsocialistiska Blocket;Nationalsocialistiska Blocket;Nationalsocialistiska Blocket;;Nationalsocialistiska Blocket;;;;;;;;;x;;;;
;;;;x
