;;;;x
form_iberia_spa_title;Form the Iberian Union!;x;;
form_iberia_spa_desc;For many years the Iberian peninsula was divided by two nations, with another one occupying its most southern part, but we changed that and united the Iberian nations into one and we shall  remain so, the great power of Europe in the most western part of the continent.;x;;
form_iberia_por_title;Form the Iberian Union!;x;;
form_iberia_por_desc;For many years the Iberian peninsula was divided by two nations, with another one occupying its most southern part, but we changed that and united the Iberian nations into one and we shall  remain so, the great power of Europe in the most western part of the continent.;x;;
forming_thirteen_colonies_1_title;Create the Colony of America;x;;
forming_thirteen_colonies_1_desc;As we seizes our first larger colonies in the New World we realized that fully controlling these large populations from Europe is nearly impossible so we should choose an easier approach and select governors to rule our colonies with our leadership of course.;x;;
forming_thirteen_colonies_2_title;Ceding Georgia to Colonial Leadership;x;;
forming_thirteen_colonies_2_desc;As we colonized the province that we named Georgia we should cede it to our stabilized and functional colonial government with its Virginian capital.;x;;
forming_thirteen_colonies_3_title;Ceding North Carolina to Colonial Leadership;x;;
forming_thirteen_colonies_3_desc;As we colonized the northern part of the province that we named Carolina we should cede it to our stabilized and functional colonial government with its Virginian capital.;x;;
forming_thirteen_colonies_4_title;Ceding West Virginia to Colonial Leadership;x;;
forming_thirteen_colonies_4_desc;As we colonized the western part of Virginiawe should cede it to our stabilized and functional colonial government with its Virginian capital.;x;;
forming_thirteen_colonies_5_title;Ceding Maryland to Colonial Leadership;x;;
forming_thirteen_colonies_5_desc;As we colonized the province that we named Maryland we should cede it to our stabilized and functional colonial government with its Virginian capital.;x;;
forming_thirteen_colonies_6_title;Ceding Pennsylvania to Colonial Leadership;x;;
forming_thirteen_colonies_6_desc;As we colonized the province that we named Pennsylvania we should cede it to our stabilized and functional colonial government with its Virginian capital.;x;;
forming_thirteen_colonies_7_title;Ceding New Jersey to Colonial Leadership;x;;
forming_thirteen_colonies_7_desc;As we colonized the province that we named New Jersey we should cede it to our stabilized and functional colonial government with its Virginian capital.;x;;
forming_thirteen_colonies_8_title;Ceding New York to Colonial Leadership;x;;
forming_thirteen_colonies_8_desc;As we colonized the province that we named New York we should cede it to our stabilized and functional colonial government with its Virginian capital.;x;;
forming_thirteen_colonies_9_title;Ceding Massachusetts to Colonial Leadership;x;;
forming_thirteen_colonies_9_desc;As we colonized the province that we named Massachusetts we should cede it to our stabilized and functional colonial government with its Virginian capital.;x;;
forming_thirteen_colonies_10_title;Ceding New England to Colonial Leadership;x;;
forming_thirteen_colonies_10_desc;As we colonized the province that we named New England we should cede it to our stabilized and functional colonial government with its Virginian capital.;x;;
forming_thirteen_colonies_main_title;Forming the Thirteen Colonies;x;;
