;;;;x
AAC;Aachen;x;;
AAC_ADJ;Aachener;x;;
AAC_bourgeois_dictatorship;Noble Republic of Aachen;x;;
AAC_bourgeois_dictatorship_ADJ;Aachener;x;;
AAC_absolute_monarchy;Imperial Aachen;x;;
AAC_absolute_monarchy_ADJ;Aachener;x;;
AAC_hms_government;Imperial Aachen;x;;
AAC_hms_government_ADJ;Aachener;x;;
AAC_democracy;Aachen;x;;
AAC_democracy_ADJ;Aachener;x;;
AAC_proletarian_dictatorship;Republic of Haaren;x;;
AAC_proletarian_dictatorship_ADJ;Haarener;x;;
AAC_fascist_dictatorship;Greater Aachen;x;;
AAC_fascist_dictatorship_ADJ;Aachener;x;;
ABU;Abu Dhabi;x;;
ABU_ADJ;Abu Dhabian;x;;
ABU_bourgeois_dictatorship;Republican Abu Dhabi;x;;
ABU_bourgeois_dictatorship_ADJ;Abu Dhabian;x;;
ABU_absolute_monarchy;Emirate of Abu Dhabi;x;;
ABU_absolute_monarchy_ADJ;Abu Dhabian;x;;
ABU_hms_government;Abu Dhabi;x;;
ABU_hms_government_ADJ;Abu Dhabian;x;;
ABU_democracy;Abu Dhabi;x;;
ABU_democracy_ADJ;Abu Dhabian;x;;
ABU_proletarian_dictatorship;Socialist Republic of Abu Dhabi;x;;
ABU_proletarian_dictatorship_ADJ;Abu Dhabian;x;;
ABU_fascist_dictatorship;National Abu Dhabian Front;x;;
ABU_fascist_dictatorship_ADJ;Abu Dhabian;x;;
AFG;Afghanistan;x;;
AFG_ADJ;Afghani;x;;
AFG_bourgeois_dictatorship;Republic of Afghanistan;x;;
AFG_bourgeois_dictatorship_ADJ;Afghani;x;;
AFG_absolute_monarchy;Emirate of Afghanistan;x;;
AFG_absolute_monarchy_ADJ;Afghani;x;;
AFG_hms_government;People's Emirate of Afghanistan;x;;
AFG_hms_government_ADJ;Afghani;x;;
AFG_democracy;Afghanistan;x;;
AFG_democracy_ADJ;Afghani;x;;
