;;;;x
EVTNAME900001;Slavery in African countries;x
EVTDESC900001;We have realised that, by organising a slave state in our country, we can both make a profit and establish a better relationship with foreign nations.;x
EVTOPTA900001;We will crack the whip!;x
EVTOPTB900001;Our people are free, and shall remain free!;x
apache;Apache;x
comanche;Comanche;x
chumash;Chumash;x
creek;Creek;x
susquehannock;Susquehannock;x
chinook;Chinook;x
arapaho;Arapaho;x
cheyenne;Cheyenne;x
sioux;Sioux;x
lenape;Lenape;x
quinnipiac;Quinnipiac;x
huron;Huron;x
micmac;Micmac;x
powhatan;Powhatan;x
;;;;x
