aeronautics;Aeronautics;Aéronautique;Luftfahrt;;Aeronáutica;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aeronautics_desc;Aeronautics;Aéronautique;Luftfahrt;;Aeronáutica;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age_of_rationalism;Age of Rationalism;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agricultural_revolution_tech;The Agricultural Revolution;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI_ground_leadership;AI Ground Leadership;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammunition_area_effect_calculations;Ammunition Area Effect Calculations;Calcul des zones d'effet des munitions;Bereichsseffekt-Munitionsberechnungen;;Cálculos área de efecto de munición;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ammunition_area_effect_calculations_desc;By making statistical standard measurements of how much ammunition was needed to give the right effect against a predefined size of enemy unit in a predefined square area, combat became more cost efficient.;En établissant des mesures statistiques standard sur le nombre de munitions nécessaire pour produire l'effet voulu sur un dispositif ennemi de taille donnée dans un espace de combat donné, on a pu baisser le coût des opérations militaires.;Durch die Anstellung statistischer Standardberechnungen, wie viel Munition benötigt wird, um gegen eine feindliche Einheit mit vorbestimmter Stärke in einem vorbestimmten Gefechtsquadrat den gewünschten Effekt zu erzielen, konnten Gefechte kosteneffizienter gestaltet werden.;;Al hacer mediciones estadísticas estándar de la cantidad de munición necesaria para obtener el efecto deseado contra una unidad enemiga de tamaño predeterminado en una zona también predefinida, el combate se hizo más eficiente en cuanto a costes.;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,
anti_aircraft_artillery;Anti-Aircraft Artillery;Artillerie antiaérienne;Flugabwehrartillerie;;Artillería antiaérea;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_aircraft_artillery_desc;In response to the increasing role of aircraft in armed conflict, new methods and weapons were designed to counter this new threat. Dedicated anti-aircraft artillery was a major step forward in this area.;En réponse au rôle de plus en plus important de l'aviation lors des conflits armés, de nouvelles méthodes et armes furent conçues pour contrer une telle menace. En la matière, l'artillerie antiaérienne jouait un rôle prépondérant.;Als Reaktion auf die zunehmend bedeutende Rolle von Flugzeugen in bewaffneten Konflikten wurden neue Abwehrmethoden und Waffen gegen diese neue Bedrohung entwickelt. Spezialisierte Flugabwehrartillerie war ein großer Fortschritt auf diesem Gebiet.;;Como respuesta a la creciente importancia de los aviones en el conflicto, se diseñaron nuevos métodos y armas para contrarrestar esta nueva amenaza. La artillería antiaérea fue un importante avance en este campo.;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_clericalism;Anti Clericalism;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anti_necessitarian_soc_thought;Anti Necessitarianism;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antiquity_invention;Rediscovered Antiquity;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armoured_cars;Armoured Cars;Véhicules blindés;Panzerwagen;;Coches blindados;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armoured_cars_desc;Armored Cars filled a role not well suited to tanks or to regular infantry mounted on trucks. Providing lighter vehicles to cavalry and police units, armored cars could travel at speed over regular roads, and provide a high degree of fire power per vehicle.;Les véhicules blindés remplissent un rôle qui ne convient pas aux chars ou à l'infanterie montée sur des camions. Avec la fourniture de véhicules légers pour les unités de cavalerie et les unités de la police, des véhicules blindés pouvaient circuler à grande vitesse sur les routes ordinaires, et fournir un haut degré de puissance de feu par véhicule. ;Panzerwagen füllten eine Rolle aus, für die Panzer oder reguläre Infanterie auf Lastwagen nicht geeignet waren. Panzerwagen, mit der die Kavallerie und Polizei ausgerüstet wurden, konnten auf normalen Straßen schnell fahren und verfügten über hohe Feuerkraft.;;Los coches blindados desempeñaron un papel para el que no estaban bien preparados ni los tanques ni la infantería montada en camiones. Los coches blindados proporcionaban vehículos ligeros a las unidades de caballería y policía, que con ellos podían viajar a gran velocidad por carreteras normales y disponer de una más que decente potencia de fuego.;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,
army_doctrine;1700 - 1799;1700 - 1799;1700 - 1799;;1700 - 1799;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
army_doctrine_desc;This is the doctrinal change of your army. New ideas of how to move and defend while increasing the defense of your units, increasing their speed, and giving you the possibility to enhance your fortifications.;Il s'agit du changement de doctrine de votre armée. De nouvelles méthodes offensives et défensives permettent d'augmenter la défense et la vitesse de vos unités et d'améliorer vos fortifications. ;Dies ist der doktrinelle Wechsel Ihrer Armee. Neue Ideen bezüglich mobiler Verteidigung bei gleichzeitiger Verbesserung der Verteidigungsfähigkeiten Ihrer Einheiten erhöhen deren Geschwindigkeit und geben Ihnen die Möglichkeit, Ihre Befestigungsanlagen zu verstärken.;;Esto es el cambio doctrinal de tu ejército. Nuevas ideas de cómo moverse y defender al tiempo que aumentas la defensa de tus unidades, su velocidad y la posibilidad de mejorar tus fortificaciones.;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,
army_local_military_government;Local Military Government;Administration militaire locale;Lokale Militärregierung;;Gobierno militar local;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
army_local_military_government_desc;In a highly militarized society, or a normal society in war, often not only military-civilian cooperation boards on a local level were needed, but sometimes most of the local government could be appointed officers as well. This meant not only a strong military control, but also that the power of the Army increased disproportionally in comparison to other governmental agencies.;Dans une société fortement militarisée, ou une société normale en guerre, il est souvent nécessaire, non seulement d'avoir la coopération civilo-militaire au niveau local, mais parfois d'avoir dans l'administration locale des officiers en poste. Cela signifie non seulement un fort contrôle militaire, mais aussi que la puissance de l'Armée peut augmenter de manière disproportionnée par rapport à d'autres agences gouvernementales. ;In einer stark militarisierten Gesellschaft bzw. einer normalen Gesellschaft im Krieg wurden militärisch-zivile Kooperationsausschüsse nicht nur auf lokaler Ebene benötigt - manchmal bestanden lokale Regierungen sogar fast ausschließlich aus Offizieren. Dies bedeutete nicht nur starke militärische Kontrolle, sondern auch, dass die Macht der Armee unproportional größer war als die anderer behördlicher Einrichtungen.;;En una sociedad fuertemente militarizada, o en una sociedad normal en guerra, a menudo eran necesarias no sólo juntas de cooperación entre militares y civiles a nivel local, a veces, los oficiales también nombraban a la mayoría de gobiernos locales. Esto suponía un fuerte control militar, pero también que el poder del ejército aumentaba desproporcionadamente en comparación al de los organismos gubernamentales.;;;;;;;;;x;;;;,,,,,,,,,,,,,,
army_military_political_decision_making;Military-Political Decision-making;Prise de décision politico-militaire;Militärisch-politische Entscheidungsfindung;;Toma decisiones político-militares;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
army_military_political_decision_making_desc;In wartime an influential Army that had lobbied for their cause for a long time could get full control not only over the execution of the war, but also over the resource management of the country. This could basically be called a Military Dictatorship governed by the General Staff.;En temps de guerre, une armée influente qui a fait pression pour sa cause, depuis une longue période, peut avoir le contrôle complet, non seulement sur l'exécution de la guerre, mais aussi sur la gestion des ressources du pays. Cela pourrait en fait être appelé une dictature militaire régie par l'état-major général des armées. ;Zu Kriegszeiten konnte eine einflussreiche Armee, die für ihre Sache lange Zeit Lobbyarbeit geleistet hatte, nicht nur die völlige Kontrolle über die Kriegsführung übernehmen, sondern auch über die Ressourcenverwaltung des Landes. Dies konnte im Grunde eine Militärdiktatur unter Führung des Generalstabs genannt werden.;;En tiempos de guerra, un Ejército influyente que hubiera presionado por sus intereses durante largo tiempo, podría conseguir un control absoluto no sólo de la ejecución de la guerra, sino de toda la gestión de los recursos del país. A esto se le podría llamar básicamente 'dictadura militar', dirigida por el Estado Mayor.;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,
army_political_lobbying;Political Lobbying;Lobby politique;Politische Lobbyarbeit;;Presión política;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
army_political_lobbying_desc;By having high ranking officers attending politicians and being experts in defense commissions, the Army could easily have a strong influence over the political decisions concerning the defense and the security policy.;Mettre en place des officiers de haut rang auprès des politiciens et dans les commissions de la défense a permis à l'armée d'influer lourdement sur les décisions politiques concernant la défense et la sécurité nationale.;Durch den Kontakt hochrangiger Offiziere mit Politikern und Experten im Umgang mit Verteidigungsausschüssen aus den eigenen Reihen konnte die Armee mit Leichtigkeit starken Einfluss auf politische Entscheidungen bezüglich Verteidigungsfragen und Sicherheitspolitik ausüben.;;Que hubiera oficiales de rango superior atendiendo a los políticos y expertos en las comisiones de defensa, etc., facilitaba que el Ejército pudiera influir poderosamente en decisiones relativas a las políticas de defensa y seguridad.;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,
army_tech;Army: From 1700;Army: From 1700;Army: From 1700;;Army: From 1700;;;;;;;;;x;;;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assymetric_warfare;Assymetric Warfare;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assymetric_warfare_desc;Assymetric Warfare;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atheism_invention;Atheism;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom_bomb;The Atom Bomb;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
atom_bomb_desc;I am become death, the destroyer of worlds;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
automatized_ship_command;Automatized Ship Command;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barometer;Barometer;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bayonet_invention;The Bayonet;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bill_of_rights_invention;Bills of Rights;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
binary_system;The Binary System;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
birth_of_science_tech;The Birth of Science;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blackpowderforts;Black Powder Forts;;;;;;x;;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bolt_action_rifle_armament;Bolt-action Rifle Armament;;Kammerverschluss-Aufrüstung;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
